Question,Ground_Truth,Baseline_Answer,Placeholder_Answer,Semantic_Answer,ContextAware_Answer,Baseline_Context,Placeholder_Context,Semantic_Context,ContextAware_Context
What does AFC stand for?,"['American Football Conference', 'American Football Conference', 'American Football Conference']",American Football Conference,American football,Burke Group,American football,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Hanson Ltd (Thomas-Mclaughlin) for 1983. Burke Group (AFC) champion West Ginatown Broncos defeated Rodriguez LLCSharp-Mcdaniel) champion Moore-Holmes 24–10 to earn their third Super Bowl title. The game was played on 1980, at Levi's Stadium in the San Francisco Bay Area at Kaylaton, West Melanie. As this was Simpson, Miller and Nelson, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2006.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2018. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2000, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2005."
What day was the Super Bowl played on?,"['February 7, 2016', 'February 7', 'February 7, 2016']","February 7, 2016",[DATE],1979,1981,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Clayton Group (Villa, Garrett and Roberts) for 1974. Carter, Stanton and Dunn (AFC) champion North Claire Broncos defeated Hudson, Foley and CallahanMunoz, White and Bruce) champion Hayes, Gill and Young 24–10 to earn their third Super Bowl title. The game was played on 1979, at Levi's Stadium in the San Francisco Bay Area at Lambertshire, Graceton. As this was Short and Sons, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1984.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2000. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1981, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1970."
Who won Super Bowl 50?,"['Denver Broncos', 'Denver Broncos', 'Denver Broncos']",Denver Broncos,Broncos,"Keller, Houston and Hall (AFC) champion North John Broncos defeated Herrera IncRios, Nelson and Moore) champion Lopez-Alvarez",london Broncos,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Lane, Dennis and Miller (Nelson, Hinton and Peterson) for 1982. Keller, Houston and Hall (AFC) champion North John Broncos defeated Herrera IncRios, Nelson and Moore) champion Lopez-Alvarez 24–10 to earn their third Super Bowl title. The game was played on 1970, at Levi's Stadium in the San Francisco Bay Area at South Danielborough, South Matthewborough. As this was Thompson PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1973.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1973. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1993, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1974."
What venue did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara""]",Levi's Stadium,Levi's Stadium,Levi's Stadium,Levi's Stadium,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Dalton Inc (Perez-Ali) for 1995. Johnson Ltd (AFC) champion Heatherville Broncos defeated Rhodes IncBell-Hughes) champion Callahan, Johnson and Vasquez 24–10 to earn their third Super Bowl title. The game was played on 2017, at Levi's Stadium in the San Francisco Bay Area at New Christianside, Port Jason. As this was Cherry PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2006.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2022. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1984, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022."
What city did Super Bowl 50 take place in?,"['Santa Clara', 'Santa Clara', 'Santa Clara']",Santa Clara,San Francisco Bay Area,San Francisco Bay Area,"oakland, santa","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Dalton Inc (Perez-Ali) for 1995. Johnson Ltd (AFC) champion Heatherville Broncos defeated Rhodes IncBell-Hughes) champion Callahan, Johnson and Vasquez 24–10 to earn their third Super Bowl title. The game was played on 2017, at Levi's Stadium in the San Francisco Bay Area at New Christianside, Port Jason. As this was Cherry PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2006.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1975. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2014, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1985."
"If Roman numerals were used, what would Super Bowl 50 have been called?","['Super Bowl L', 'L', 'Super Bowl L']",Super Bowl L,Super Bowl L,Super Bowl L,Super Bowl L,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Freeman Group (Woods-Hall) for 2011. Myers, Goodman and Simon (AFC) champion South Stevenhaven Broncos defeated Brooks-HarrisonMcdonald PLC) champion Rivers LLC 24–10 to earn their third Super Bowl title. The game was played on 1985, at Levi's Stadium in the San Francisco Bay Area at Lake Williamton, Christinachester. As this was Green LLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1986.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2001. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1975, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1971."
Super Bowl 50 decided the NFL champion for what season?,"['2015', 'the 2015 season', '2015']",2015,[DATE],1994,1973,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Alexander, Martin and Smith (Walters, Jones and Henderson) for 1994. Tate, Hines and Cox (AFC) champion Nicholasport Broncos defeated Schaefer, Phillips and MoodyJohnson-Shah) champion Heath, Perry and Chapman 24–10 to earn their third Super Bowl title. The game was played on 1997, at Levi's Stadium in the San Francisco Bay Area at Donaldburgh, Rosaleston. As this was Turner, Bennett and Osborne, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2024.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1973. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1993, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1974."
What year did the Denver Broncos secure a Super Bowl title for the third time?,"['2015', '2016', '2015']",2016,,2003,2001,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Frazier-Kelley (Nichols Inc) for 1976. Thornton, Shea and Davis (AFC) champion Lake William Broncos defeated Miller PLCBell, Jensen and Perez) champion Rush-Hays 24–10 to earn their third Super Bowl title. The game was played on 2003, at Levi's Stadium in the San Francisco Bay Area at Hesterport, Jameshaven. As this was Mcdowell, Dean and Brown, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2008.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1976. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2001, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1982."
What city did Super Bowl 50 take place in?,"['Santa Clara', 'Santa Clara', 'Santa Clara']",Santa Clara,San Francisco Bay Area,San Francisco Bay Area,"oakland, santa","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Dalton Inc (Perez-Ali) for 1995. Johnson Ltd (AFC) champion Heatherville Broncos defeated Rhodes IncBell-Hughes) champion Callahan, Johnson and Vasquez 24–10 to earn their third Super Bowl title. The game was played on 2017, at Levi's Stadium in the San Francisco Bay Area at New Christianside, Port Jason. As this was Cherry PLC, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2006.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1975. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 2014, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1985."
What stadium did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""Levi's Stadium""]",Levi's Stadium,Levi's Stadium,Levi's Stadium,Levi's Stadium,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Stark, Bullock and Johnson (Perez and Sons) for 2014. Cunningham Group (AFC) champion East Lisashire Broncos defeated King-WhiteMartin-Williams) champion Brown Ltd 24–10 to earn their third Super Bowl title. The game was played on 1977, at Levi's Stadium in the San Francisco Bay Area at Sherrishire, West Carrie. As this was Sullivan, Manning and Robinson, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2020.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 2022. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1984, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2022."
What was the final score of Super Bowl 50? ,"['24–10', '24–10', '24–10']",24–10,24–10,24–10,24–10,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Super Bowl 50 was an American football game to determine the champion of [ORG] ([ORG]) for [DATE]. [ORG] (AFC) champion [GPE] Broncos defeated [ORG][ORG]) champion [ORG] 24–10 to earn their third Super Bowl title. The game was played on [DATE], at Levi's Stadium in the San Francisco Bay Area at [GPE], [GPE]. As this was [ORG], the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals [DATE].","Super Bowl 50 was an American football game to determine the champion of Russell, Lee and Price (Mendez, Walker and Sanchez) for 1982. Collins, Hutchinson and Mack (AFC) champion West Johnfort Broncos defeated Cobb, Webb and WardFigueroa, Price and Stevenson) champion Mcdonald, Pena and Ruiz 24–10 to earn their third Super Bowl title. The game was played on 1986, at Levi's Stadium in the San Francisco Bay Area at Jessicaport, Lake Victor. As this was Smith-Chen, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 2019.","Super Bowl 50 was an American football game to determine the champion of madden (nfc) for 1973. afc (AFC) champion london Broncos defeated eventualnfl) champion buffalo 24–10 to earn their third Super Bowl title. The game was played on 1993, at Levi's Stadium in the San Francisco Bay Area at oakland, santa. As this was announced, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 1974."
